image_id,magazine_id,image_number,in_out,explicit,symbol,weapon,gruesome,narrative,strength,caption
D4_95,D4,86,1,0,0,0,0,0,0,0
D4_96,D4,87,1,0,8,0,0,0,0,0
D4_97,D4,88,0,0,0,0,0,0,0,0
D5_1,D5,1,0,1,5,0,0,0,0,0
D5_2,D5,2,0,0,0,0,0,0,0,0
D5_3,D5,3,0,1,5,0,0,0,0,0
D5_4,D5,4,0,1,5,0,0,0,0,1
D5_5,D5,5,-99,-99,3,0,0,0,0,0
D5_6,D5,6,0,1,5,0,0,0,0,0
D5_7,D5,7,0,0,2,1,0,0,0,0
D5_8,D5,8,0,0,2,0,0,0,0,0
D5_9,D5,9,1,0,0,0,0,7,2,1
D5_10,D5,10,1,0,0,0,0,7,2,1
D5_11,D5,11,1,0,0,0,0,7,2,1
D5_12,D5,12,0,0,0,1,0,7,1,1
D5_13,D5,13,0,0,0,1,0,7,1,1
D5_14,D5,14,0,0,0,0,0,7,2,1
D5_15,D5,15,0,0,0,0,0,7,2,1
D5_16,D5,16,1,0,0,1,0,7,2,1
D5_17,D5,17,0,0,0,0,0,3,1,0
D5_18,D5,18,0,0,0,1,0,0,0,1
D5_19,D5,19,0,0,2,0,0,3,1,1
D5_20,D5,20,0,0,0,0,0,3,1,1
D5_21,D5,21,0,0,2,0,0,3,1,1
D5_22,D5,22,0,0,0,0,0,0,0,1
D5_23,D5,23,-99,-99,0,0,0,5,1,1
D5_24,D5,24,0,0,0,0,0,7,2,1
D5_25,D5,25,0,0,0,1,0,7,1,1
D5_26,D5,26,0,0,2,0,0,7,1,1
D5_27,D5,27,0,0,0,0,0,7,1,1
D5_28,D5,28,0,0,2,1,0,7,1,1
D5_29,D5,29,0,0,0,0,0,2,1,1
D5_30,D5,30,0,0,0,0,0,2,1,1
D5_31,D5,31,0,1,0,0,0,0,0,1
D5_32,D5,32,0,1,0,0,0,0,0,1
D5_33,D5,33,0,1,0,0,0,2,1,1
D5_34,D5,34,0,0,3,1,0,0,0,0
D5_35,D5,35,0,1,2,1,0,0,0,0
D5_36,D5,36,0,0,0,0,0,0,0,0
D5_37,D5,37,0,0,2,1,0,7,1,1
D5_38,D5,38,0,0,0,1,1,4,2,1
D5_39,D5,39,0,0,2,1,0,7,1,1
D5_40,D5,40,0,1,3,0,0,0,0,1
D5_41,D5,41,0,0,0,1,0,0,0,1
D5_42,D5,42,0,0,0,0,0,0,0,1
D5_43,D5,43,0,0,2,1,0,3,1,1
D5_44,D5,44,0,0,0,0,0,7,1,1
D5_45,D5,45,0,0,0,1,0,7,1,1
D5_46,D5,46,0,0,0,1,0,7,2,1
D5_47,D5,47,0,0,1,0,0,0,0,1
D5_48,D5,48,1,0,0,1,0,4,1,1
D5_49,D5,49,0,0,1,1,0,7,1,1
D5_50,D5,50,0,0,0,1,0,0,0,0
D5_51,D5,51,1,0,0,0,0,0,0,1
D5_52,D5,52,1,0,0,0,0,0,0,1
D5_53,D5,53,1,1,0,0,0,0,0,0
D5_54,D5,54,1,0,0,0,0,0,0,0
D5_55,D5,55,1,0,0,0,0,0,0,0
D5_56,D5,56,0,0,0,0,0,0,0,1
D5_57,D5,57,1,0,0,0,0,0,0,1
D5_58,D5,58,0,1,0,1,0,7,0,1
D5_59,D5,59,0,0,0,0,0,0,0,0
D6_1,D6,1,-99,-99,0,0,0,0,0,0
D6_2,D6,2,0,0,5,0,0,0,0,0
D6_3,D6,3,1,0,0,0,0,7,1,0
D6_4,D6,4,1,0,0,0,0,7,1,1
D6_5,D6,5,1,0,0,0,0,7,1,1
D6_6,D6,6,0,0,0,0,0,0,0,1
D6_7,D6,7,0,0,0,0,0,0,0,0
D6_8,D6,8,0,0,2,1,0,7,1,0
D6_9,D6,9,0,0,2,1,0,7,1,0
D6_10,D6,10,0,0,2,0,0,2,0,0
D6_11,D6,11,0,0,2,1,0,7,1,0
D6_12,D6,12,0,0,0,0,0,3,1,0
D6_13,D6,13,0,0,0,1,0,7,1,0
D6_14,D6,14,0,0,0,1,0,0,0,0
D6_15,D6,15,0,1,2,0,0,0,0,0
D6_16,D6,16,0,0,0,0,0,0,0,0
D6_17,D6,17,1,0,0,1,0,6,1,0
D6_18,D6,18,1,0,0,0,0,6,1,1
D6_19,D6,19,1,0,0,1,0,0,1,1
D6_20,D6,20,1,0,0,1,0,0,1,1
D6_21,D6,21,1,0,0,0,0,6,2,1
D6_22,D6,22,1,0,0,1,0,0,1,1
D6_23,D6,23,0,0,0,1,0,0,0,1
D6_24,D6,24,1,0,0,0,0,6,1,1
D6_25,D6,25,0,0,2,1,0,7,1,0
D6_26,D6,26,0,0,2,0,0,7,1,1
D6_27,D6,27,0,0,2,1,0,7,1,1
D6_28,D6,28,0,0,0,1,0,7,1,1
D6_29,D6,29,0,0,0,1,0,2,1,1
D6_30,D6,30,0,0,0,1,0,2,1,1
D6_31,D6,31,0,0,2,1,0,2,1,1
D6_32,D6,32,0,0,0,1,0,7,1,1
D6_33,D6,33,0,0,0,1,0,7,2,1
D6_34,D6,34,1,0,0,0,0,7,1,1
D6_35,D6,35,0,0,0,1,1,4,2,1
D6_36,D6,36,1,0,0,0,0,7,1,1
D6_37,D6,37,1,0,0,0,0,6,1,1
D6_38,D6,38,0,0,0,1,0,7,2,1
D6_39,D6,39,0,0,0,1,0,7,2,1
D6_40,D6,40,0,0,0,0,0,7,1,1
D6_41,D6,41,1,0,0,0,1,4,2,1
D6_42,D6,42,0,0,0,1,0,7,2,1
D6_43,D6,43,1,0,8,0,0,0,0,0
D6_44,D6,44,1,0,0,0,0,0,0,0
D6_45,D6,45,1,0,0,1,0,0,0,0
